#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321ABEB31
#Date Time: 2019-09-08 21:47:03.736

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
1252,1.684454065583618,1.893114055138415,0.1003207440212287,1.738801231219479,2.468803932732087,0.003652259790663872
1253,1.664634090326172,1.87098286285211,0.03612441274070406,1.730014324589191,2.460016755693685,0.003458483975167909
1254,1.674149044662724,1.882759656159242,0.09911353446766624,1.721047653092277,2.451050281973394,0.00358985122733846
1255,1.64674029560368,1.853091581643203,0.03608056268111585,1.712418490131387,2.442420843111445,0.003390270048588565
1256,1.66159201938794,1.870105201746315,0.09692014608559407,1.703241493741869,2.433244359376264,0.003734376578652547
1257,1.63486143328441,1.841213910177918,0.03602563641103496,1.693786760635613,2.423789111601431,0.003375868231505172
1258,1.636313483986353,1.842624211396566,0.03383801334320462,1.684456065285877,2.414458377399024,0.003341406246925866
1259,1.633745093468991,1.842360130361734,0.09812665796489492,1.676010711900114,2.406013067355701,0.003366676314329126
1260,1.616807647831551,1.823097431805643,0.03250422839131841,1.666454411644149,2.396457251341832,0.003689230120645786
1261,1.600989238482505,1.810053986985449,0.1052868833733999,1.65753942254684,2.387541608033355,0.003230460633587274
1262,1.570946484730145,1.777224327241155,0.03142450863432825,1.648827567747197,2.378830447258188,0.003701314383467014
1263,1.555101110651245,1.764684697125055,0.1124053305241588,1.639251942768667,2.369254551763994,0.003516069087128528
1264,1.491696694315337,1.697966090526586,0.03024530854221689,1.629837207344429,2.359839817622019,0.003509938232777069
1265,1.47674295396987,1.688713210841529,0.1418748016225489,1.621009853619102,2.351012251616525,0.003357891725717091
1266,1.269862356035215,1.503669883836624,0.2878427098181152,1.611487708687683,2.341490925232999,0.003881109710022325
1267,0.4151882789954581,0.6237817758633578,0.0568227589786941,1.603084150633121,2.333084740943353,0.001659665370349224
1268,0.4155536510847972,0.6241401870748192,0.05676294517539966,1.601412337382797,2.331412903367309,0.001624526882490016
1269,0.4147105538651117,0.6233176409335268,0.05694988866937626,1.600491941270799,2.330492045474629,0.0006969162682721223
1270,0.4152179401982804,0.6238099813595781,0.05680812987315924,1.599515818050658,2.329516374702663,0.001610422259269502
1271,0.4148682975346797,0.6234732463638861,0.0569336987025951,1.598297911086175,2.328298620309039,0.001817296042408197
1272,0.4153918627057495,0.6239809866768092,0.05678401797407186,1.597274599588649,2.32727498520169,0.00133972200826772
1273,0.4153370344217396,0.623930118934496,0.0568250206304273,1.596674634349642,2.326674758957029,0.000761473313540403
1274,0.4149370575957759,0.6235417879097748,0.05693445155674335,1.595707499372647,2.325708105405027,0.001678960478818409
1275,0.4149855941094853,0.6235867174824355,0.05689715396266136,1.594039281419576,2.324039844047993,0.001617139530048166
1276,0.4153374838339066,0.6239328622337094,0.05685022214679787,1.59334134432876,2.32334154965807,0.0009767797371300682
1277,0.4148948128523552,0.6235010823659425,0.05694937299555326,1.592984511070547,2.322984616666988,0.0007004258347260812
1278,0.4148993069739954,0.6235058934008342,0.05695304824881026,1.592109056175083,2.322109623508124,0.001623212035712004
1279,0.4152646790633351,0.6238632431416284,0.05688184852446687,1.590533866540393,2.320534489524522,0.001700385532344975
1280,0.4152714202457938,0.6238669680074955,0.05684906469481778,1.589821548260503,2.319821850552575,0.001184283171520569
1281,0.4151851331103101,0.6237874348358716,0.05691919062925345,1.589261131292013,2.319261298813102,0.0008815041743643594
1282,0.4151554719074789,0.6237544059763943,0.05688091678586234,1.588636448384131,2.318636928017656,0.001491372421103904
1283,0.4148543657575969,0.6234631872025904,0.05697545363220782,1.587204621229604,2.317205330536696,0.001813069202976793
1284,0.4147811115748594,0.6233913857393081,0.05698799282221065,1.586189399151269,2.316189730213739,0.001238389447333519
1285,0.414542473715767,0.6231610235581612,0.05706750035548486,1.585799309392932,2.315799485817039,0.0009039509826527543
1286,0.4145555066685256,0.6231738913207944,0.05706629449441613,1.585188108849867,2.315188473742402,0.001299842936998343
1287,0.4149181822848859,0.6235249620355301,0.05695602856143214,1.583355406044785,2.313356079888199,0.001765695267614187
1288,0.415161314265614,0.6237651713167739,0.05693514387181822,1.582249852121224,2.312250042498598,0.0009382964019311064
1289,0.4150628930016982,0.6236696481274364,0.05696238172519793,1.581870098842595,2.311870236452166,0.0007976658265051901
1290,0.4151622130899369,0.6237650493009004,0.0569239998471848,1.580380297518945,2.310381023351543,0.001831365321141576
1291,0.4150345800353658,0.6236404321059842,0.05695119803553724,1.579299910676697,2.309300474034836,0.001613048630341294
1292,0.4148215586696199,0.6234311483357449,0.05698235697385109,1.578561526491195,2.308561701664525,0.0008993310097884004
1293,0.4147294291759996,0.62334277781478,0.05701924595023804,1.578298620375193,2.308298684951453,0.0005460052627864604
1294,0.414961325852628,0.6235666769527027,0.05694236034119118,1.577637984494089,2.30763846007854,0.001481537350265439
1295,0.4146696573581811,0.6232826267803029,0.05701236077448789,1.575685738053327,2.305686328174664,0.001649626469670455
1296,0.4148278504399165,0.6234418250447599,0.05703059997352228,1.574712760718132,2.304712828914971,0.0005606659459444343
1297,0.4144557371681126,0.623075429514121,0.05707599389786779,1.574185150837586,2.304185494727087,0.00125887583094614
1298,0.4144916901412333,0.623109442310274,0.05705645942354431,1.572996905076137,2.302997634780795,0.001833307229570315
1299,0.4144867466074287,0.6231041887569762,0.05705284682702693,1.572102125457535,2.302102747448054,0.001692268052918406
1300,0.4143627088501604,0.6229822572329781,0.05707015240246106,1.571100385744109,2.301100522241072,0.0007925825330756652
1301,0.4148651516495326,0.6234755325745841,0.05699300997853771,1.570921969115008,2.300922051514203,0.0006157832286131565
1302,0.4149739093932215,0.6235833425038574,0.05698762059630229,1.570193022584991,2.300193523883743,0.001518607525582631
1303,0.4146799938379543,0.6232950912001904,0.05703609351644615,1.56816302784036,2.298163554069604,0.001555224218289644
1304,0.4144193347828273,0.6230415144461456,0.05710146890433961,1.567393634215649,2.297393772721303,0.0007977498854359674
1305,0.414640445567521,0.6232603850489393,0.05708716928651873,1.566644014726033,2.296644451292725,0.001416078189021755
1306,0.4149091940416006,0.6235240253349766,0.0570436931183885,1.565197806382058,2.295198528664726,0.001820868962386049
1307,0.4151613142656124,0.6237712773851285,0.05700200128534583,1.563727779193407,2.293727890234178,0.0007137185875044625
1308,0.4148512198724407,0.6234673045652375,0.05705473376317795,1.563601943787474,2.293602092252892,0.0008252519236415518
1309,0.4146683091216924,0.6232899918478026,0.05710747752881049,1.562666717074216,2.292667289190022,0.001619673396063726
1310,0.4145842690470212,0.6232063031518725,0.05710745397623917,1.560437632740795,2.29043798043092,0.001262032498270398
1311,0.4148997563861616,0.6235169496180515,0.05706907201503496,1.560021477076816,2.290021630794212,0.0008390667121967718
1312,0.4147527986085301,0.6233722002154798,0.0570864521687665,1.559528921345033,2.289529258863311,0.001243188018258531
1313,0.4145249466413661,0.6231484980434532,0.05712128508346134,1.557877331642088,2.287878060877844,0.001826692116703602
1314,0.4145442713644243,0.6231693631412163,0.05713897474296524,1.55750252189725,2.287503184009194,0.001740449785228796
1315,0.4148305469128976,0.6234494602524923,0.05708468716744035,1.556368655007322,2.286368779611681,0.0007548389371675687
1316,0.414927170528167,0.6235462218407863,0.05709062683009394,1.555588475490579,2.285588960232809,0.001488570252720751
1317,0.4145851678713477,0.6232103704415146,0.05714206195079768,1.554323829661213,2.284324569191069,0.001838110859364566
1318,0.4144431536275189,0.6230712737130121,0.05716734420230085,1.553205242785057,2.283205678126124,0.001409945416952126
1319,0.4140957580247321,0.6227280642160122,0.05719696532162819,1.552628646978688,2.282628871573234,0.001012586841819389
1320,0.414565393736132,0.6231935568587997,0.05717343270691488,1.551793189765902,2.281793691393181,0.001513016917856021
1321,0.4140872191936212,0.6227187236862042,0.05718784330738849,1.549918691629894,2.27991935447127,0.00173851951711079
1322,0.4139905955783532,0.6226250170412243,0.05721514869366458,1.548595622219152,2.278595865732985,0.001053441956192147
1323,0.4141541816060554,0.6227890299502636,0.05722732619095412,1.54816957948766,2.278170063855102,0.001485578456357593
1324,0.4147123515137634,0.6233350218545871,0.05712027791216077,1.546202502445535,2.276203087449143,0.001631923430324452
1325,0.4149064975686192,0.6235248771222234,0.05708234111702203,1.54523177217113,2.275231883397959,0.0007114306695613434
1326,0.4144907913169056,0.623117514400881,0.05715430556050508,1.544780112946339,2.274780440425979,0.001220609973452524
1327,0.4142355252077462,0.62286828817162,0.0572083707176579,1.543722196712311,2.273722916594734,0.001809316572318906
1328,0.4145253960535362,0.6231527104147602,0.05716234206114661,1.542397329652793,2.27239786418351,0.001558631814449084
1329,0.4139568896660535,0.6225876120204894,0.05717332942044667,1.541818037373359,2.271818282250362,0.001054813910580978
1330,0.4144489959856495,0.6230780491150775,0.0571777812572372,1.541186163870744,2.271186449204515,0.001138460630043819
1331,0.4145577537293453,0.6231840294915659,0.05715250562997749,1.538632154542308,2.268632653001226,0.00150387459316032
1332,0.4144247277287963,0.6230536477628464,0.0571752150261811,1.538066794039932,2.268066983034502,0.0009259067483846354
1333,0.4143640570866555,0.6229950091770794,0.05719456385520275,1.537585473612262,2.26758568074668,0.0009692206568391291
