field_1,id,message_ti,volts,d/m/y,hdop,latitude,longitude,siv,h/m/s/cs
"395",eui-70b3d57ed0044a2e,2021/09/11 20:33:52.700,4.134800000000001,"110921",1.100000000000000,47.764621699999999,8.995461400000000,"6",203350.070000000006985
"398",eui-70b3d57ed004476e,2021/09/11 20:30:12.475,4.144600000000000,"110921",1.600000000000000,47.764270699999997,8.995050400000000,"6",203009.880000000004657
"402",eui-70b3d57ed0044a2c,2021/09/11 20:18:38.302,4.012700000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"6",201835.600000000005821
"405",eui-70b3d57ed004476d,2021/09/11 20:06:00.611,4.037100000000000,"110921",0.900000000000000,47.764423299999997,8.995296400000003,"9",200558.000000000000000
"406",eui-70b3d57ed0044a2b,2021/09/11 20:04:37.807,4.017500000000000,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"5",200435.220000000030268
"426",eui-70b3d57ed004476c,2021/09/11 19:02:05.807,4.032200000000000,"110921",1.200000000000000,47.764621699999999,8.996000199999999,"6",190204.000000000000000
"428",eui-70b3d57ed004476f,2021/09/11 18:52:12.160,3.841600000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"9",185209.510000000009313
"433",eui-70b3d57ed0044a2d,2021/09/11 18:38:14.687,3.983300000000000,"110921",1.100000000000000,47.764858199999999,8.995121899999999,"6",183812.059999999997672
"436",eui-70b3d57ed0044a2e,2021/09/11 18:33:15.814,4.144600000000000,"110921",1.000000000000000,47.764434799999997,8.995371799999999,"5",183313.109999999986030
"439",eui-70b3d57ed004476e,2021/09/11 18:30:06.652,4.134800000000001,"110921",1.600000000000000,47.764270699999997,8.995050400000000,"7",183004.000000000000000
"443",eui-70b3d57ed0044a2c,2021/09/11 18:18:28.097,4.017500000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"7",181825.660000000003492
"447",eui-70b3d57ed004476d,2021/09/11 18:05:18.473,4.061500000000000,"110921",1.000000000000000,47.764266900000003,8.995281200000003,"8",180515.619999999995343
"448",eui-70b3d57ed0044a2b,2021/09/11 18:04:32.192,4.017500000000000,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"6",180430.000000000000000
"468",eui-70b3d57ed004476c,2021/09/11 17:01:33.759,4.051800000000000,"110921",1.100000000000000,47.764236400000001,8.995751300000000,"6",170131.220000000030268
"470",eui-70b3d57ed004476f,2021/09/11 16:52:06.868,3.836700000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"6",165204.700000000011642
"475",eui-70b3d57ed0044a2d,2021/09/11 16:38:04.519,3.973600000000000,"110921",1.100000000000000,47.764858199999999,8.995121899999999,"8",163801.130000000004657
"479",eui-70b3d57ed004476e,2021/09/11 16:29:35.552,4.144600000000000,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"6",162933.190000000002328
"483",eui-70b3d57ed0044a2c,2021/09/11 16:18:22.609,4.022400000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"6",161820.809999999997672
"487",eui-70b3d57ed004476d,2021/09/11 16:05:07.300,4.061500000000000,"110921",6.400000000000000,47.764434799999997,8.995222999999999,"7",160504.649999999994179
"488",eui-70b3d57ed0044a2b,2021/09/11 16:04:16.214,4.027300000000001,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"5",160414.200000000011642
"495",eui-70b3d57ed0044a2f,2021/09/11 15:42:20.642,5.000000000000000,"110921",0.700000000000000,47.762802100000002,9.000108700000000,"7",154218.260000000009313
"508",eui-70b3d57ed004476c,2021/09/11 15:01:27.909,4.042000000000000,"110921",1.100000000000000,47.764236400000001,8.995751300000000,"7",150126.000000000000000
"510",eui-70b3d57ed004476f,2021/09/11 14:51:46.187,3.836700000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"6",145144.000000000000000
"518",eui-70b3d57ed0044a2e,2021/09/11 14:32:44.729,4.159300000000000,"110921",1.200000000000000,47.764099100000003,8.995592100000000,"6",143242.279999999998836
"521",eui-70b3d57ed004476e,2021/09/11 14:29:09.529,4.134800000000001,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"6",142907.329999999987194
"524",eui-70b3d57ed0044a2c,2021/09/11 14:18:06.701,3.993100000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"8",141804.000000000000000
"528",eui-70b3d57ed004476d,2021/09/11 14:05:02.033,4.032200000000000,"110921",6.400000000000000,47.764434799999997,8.995222999999999,"7",140500.000000000000000
"529",eui-70b3d57ed0044a2b,2021/09/11 14:04:00.424,4.007800000000000,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"5",140358.190000000002328
"550",eui-70b3d57ed004476c,2021/09/11 13:00:50.868,4.037100000000000,"110921",1.500000000000000,47.765689799999997,8.993508300000000,"6",130048.100000000005821
"552",eui-70b3d57ed004476f,2021/09/11 12:50:54.379,3.846500000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"6",125051.929999999993015
"557",eui-70b3d57ed0044a2d,2021/09/11 12:37:12.548,3.998000000000000,"110921",1.200000000000000,47.763908299999997,8.995592100000000,"7",123710.119999999995343
"565",eui-70b3d57ed0044a2c,2021/09/11 12:17:24.862,3.973600000000000,"110921",12.000000000000000,47.763683299999997,8.995671200000000,"3",121723.000000000000000
"568",eui-70b3d57ed004476d,2021/09/11 12:03:43.815,4.037100000000000,"110921",1.100000000000000,47.764434799999997,8.995222999999999,"6",120342.000000000000000
"590",eui-70b3d57ed004476f,2021/09/11 10:50:28.208,3.836700000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"6",105026.000000000000000
"595",eui-70b3d57ed0044a2d,2021/09/11 10:37:07.394,3.978400000000000,"110921",1.200000000000000,47.763908299999997,8.995592100000000,"6",103705.000000000000000
"598",eui-70b3d57ed0044a2e,2021/09/11 10:32:08.544,4.125100000000000,"110921",2.400000000000000,47.764297399999997,8.996288200000000,"5",103206.000000000000000
"601",eui-70b3d57ed004476e,2021/09/11 10:28:23.003,4.130000000000000,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"6",102820.619999999995343
"602",eui-70b3d57ed0044a2f,2021/09/11 10:28:02.859,4.022400000000000,"110921",3.400000000000000,47.763526900000002,8.998188000000003,"6",102800.460000000006403
"607",eui-70b3d57ed0044a2c,2021/09/11 10:12:23.029,4.022400000000000,"110921",20.399999999999999,47.763683299999997,8.995671200000000,"0",101221.149999999994179
"609",eui-70b3d57ed004476d,2021/09/11 10:03:22.213,4.042000000000000,"110921",1.100000000000000,47.764434799999997,8.995222999999999,"6",100320.000000000000000
"610",eui-70b3d57ed0044a2b,2021/09/11 10:03:06.730,3.988200000000000,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"6",100304.649999999994179
"632",eui-70b3d57ed004476c,2021/09/11 09:00:18.805,4.012700000000000,"110921",2.300000000000000,47.765266400000002,8.994366599999999,"6",90016.979999999995925
"634",eui-70b3d57ed004476f,2021/09/11 08:48:23.029,3.856300000000000,"110921",1.300000000000000,47.764423299999997,8.996716400000000,"6",84819.830000000001746
"640",eui-70b3d57ed0044a2d,2021/09/11 08:36:14.792,3.988200000000000,"110921",1.000000000000000,47.764316500000000,8.995296400000003,"7",83612.169999999998254
"642",eui-70b3d57ed0044a2e,2021/09/11 08:31:21.171,4.139700000000001,"110921",1.300000000000000,47.764499600000001,8.995991699999999,"5",83118.770000000004075
"645",eui-70b3d57ed004476e,2021/09/11 08:27:57.135,4.125100000000000,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"6",82754.770000000004075
"646",eui-70b3d57ed0044a2f,2021/09/11 08:27:05.858,4.027300000000001,"110921",1.000000000000000,47.763526900000002,8.998188000000003,"5",82704.139999999999418
"651",eui-70b3d57ed0044a2c,2021/09/11 08:07:20.791,4.090900000000001,"110921",1.000000000000000,47.763683299999997,8.995671200000000,"6",80718.210000000006403
"653",eui-70b3d57ed004476d,2021/09/11 08:02:51.044,4.042000000000000,"110921",1.000000000000000,47.764202099999999,8.995737000000000,"8",80248.639999999999418
"672",eui-70b3d57ed004476c,2021/09/11 07:00:07.767,4.022400000000000,"110921",2.300000000000000,47.765266400000002,8.994366599999999,"6",70004.830000000001746
"674",eui-70b3d57ed004476f,2021/09/11 06:48:11.928,3.856300000000000,"110921",1.300000000000000,47.764423299999997,8.996716400000000,"7",64809.220000000001164
"677",eui-70b3d57ed0044a2d,2021/09/11 06:36:04.631,3.978400000000000,"110921",1.000000000000000,47.764316500000000,8.995296400000003,"7",63602.000000000000000
"680",eui-70b3d57ed0044a2e,2021/09/11 06:30:45.129,4.154400000000000,"110921",1.400000000000000,47.764099100000003,8.996018400000002,"5",63042.580000000001746
"682",eui-70b3d57ed004476e,2021/09/11 06:27:30.886,4.110400000000001,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"7",62729.000000000000000
"683",eui-70b3d57ed0044a2f,2021/09/11 06:27:00.298,4.012700000000000,"110921",1.000000000000000,47.763526900000002,8.998188000000003,"6",62658.000000000000000
"688",eui-70b3d57ed0044a2c,2021/09/11 06:07:10.686,4.076200000000000,"110921",1.000000000000000,47.763683299999997,8.995671200000000,"5",60708.250000000000000
"690",eui-70b3d57ed0044a2b,2021/09/11 06:02:34.728,3.949100000000000,"110921",1.000000000000000,47.764705599999999,8.996401700000000,"8",60232.129999999997381
"691",eui-70b3d57ed004476d,2021/09/11 06:01:58.426,4.012700000000000,"110921",1.100000000000000,47.764118099999997,8.995777100000000,"6",60155.639999999999418
"710",eui-70b3d57ed004476c,2021/09/11 04:59:56.956,4.007800000000000,"110921",2.300000000000000,47.765266400000002,8.994366599999999,"6",45955.000000000000000
"712",eui-70b3d57ed004476f,2021/09/11 04:48:05.990,3.846500000000000,"110921",1.300000000000000,47.764423299999997,8.996716400000000,"6",44804.000000000000000
"717",eui-70b3d57ed0044a2d,2021/09/11 04:35:07.721,3.993100000000000,"110921",1.100000000000000,47.764209700000002,8.995741799999999,"6",43505.250000000000000
"719",eui-70b3d57ed0044a2e,2021/09/11 04:30:40.146,4.149500000000000,"110921",1.000000000000000,47.765769900000002,8.994391400000000,"5",43037.330000000001746
"721",eui-70b3d57ed004476e,2021/09/11 04:26:48.844,4.125100000000000,"110921",1.100000000000000,47.765506700000003,8.995070399999999,"6",42647.089999999996508
"722",eui-70b3d57ed0044a2f,2021/09/11 04:26:18.320,4.022400000000000,"110921",1.300000000000000,47.763175900000000,8.998970000000000,"5",42616.000000000000000
"727",eui-70b3d57ed0044a2c,2021/09/11 04:07:05.443,4.051800000000000,"110921",1.000000000000000,47.763683299999997,8.995671200000000,"5",40703.419999999998254
